Date,RecFumbTeam,Punter,Muffed,HomeTeam,AwayTeam,desc
2009-09-10,,D.Sepulveda,True,PIT,TEN,"(10:12) (Punt formation) D.Sepulveda punts 38 yards to TEN 7, Center-G.Warren. C.Finnegan to TEN 7 for no gain. FUMBLES, and recovers at TEN 5. C.Finnegan to TEN 5 for no gain (A.Frazier; R.Mundy)."
2009-09-13,,Nick.Harris,False,NO,DET,"(9:03) Nick.Harris punts 46 yards to NO 24, Center-D.Muhlbach. R.Bush to NO 35 for 11 yards (D.Muhlbach). FUMBLES (D.Muhlbach), and recovers at NO 35. R.Bush to NO 35 for no gain (D.Levy)."
2009-09-27,ATL,M.Koenen,False,NE,ATL,"(13:20) (Punt formation) M.Koenen to ATL 24 for -15 yards. FUMBLES, and recovers at ATL 24. M.Koenen punts 48 yards to NE 13. K.Faulk ran ob at NE 28 for 15 yards. PENALTY on ATL-J.Snelling, Ineligible Downfield Kick, 5 yards, enforced at NE 28."
2009-09-27,NO,T.Morstead,False,BUF,NO,"(6:23) T.Morstead punts 49 yards to BUF 33, Center-J.Kyle. R.Parrish to BUF 33 for no gain (M.Jenkins). FUMBLES (M.Jenkins), RECOVERED by NO-M.Jenkins at BUF 32. M.Jenkins to BUF 32 for no gain (R.Parrish)."
2009-10-04,NE,S.Koch,False,NE,BAL,"(6:39) S.Koch punts 53 yards to NE 10, Center-M.Katula. K.Faulk to NE 19 for 9 yards (H.Nakamura). FUMBLES (H.Nakamura), recovered by NE-L.Bodden at NE 14. L.Bodden to NE 14 for no gain (J.McClain)."
2009-10-04,SD,M.Scifres,False,PIT,SD,"(12:57) (Punt formation) M.Scifres punts 47 yards to PIT 42, Center-D.Binn. S.Logan to PIT 41 for -1 yards (J.Hester). FUMBLES (J.Hester), RECOVERED by SD-J.Hester at PIT 41. J.Hester for 41 yards, TOUCHDOWN. Pittsburgh challenged the fumble ruling, and the play was Upheld. (Timeout #1 at 12:37.)"
2009-10-11,STL,C.Kluwe,False,STL,MIN,"(4:37) C.Kluwe punts 57 yards to STL 6, Center-C.Loeffler. D.Amendola to STL 12 for 6 yards (K.Paymah). FUMBLES (K.Paymah), recovered by STL-B.Fletcher at STL 14. B.Fletcher to STL 12 for -2 yards (K.Onatolu). PENALTY on STL-Q.Butler, Illegal Block Above the Waist, 6 yards, enforced at STL 12."
2009-10-11,CLE,D.Zastudil,True,BUF,CLE,"(3:10) D.Zastudil punts 57 yards to BUF 16, Center-R.Pontbriand. R.Parrish to BUF 16 for no gain. FUMBLES, RECOVERED by CLE-B.Costanzo at BUF 16."
2009-10-11,DEN,C.Hanson,False,DEN,NE,"(:23) C.Hanson punts 49 yards to DEN 19, Center-J.Ingram. E.Royal to DEN 30 for 11 yards (B.Lockett). FUMBLES (B.Lockett), recovered by DEN-J.Williams at DEN 30. J.Williams to DEN 38 for 8 yards (P.Woods)."
2009-10-18,KC,G.Pakulak,False,WAS,KC,"(2:06) G.Pakulak punts 31 yards to KC 45, Center-E.Albright. B.Wade to WAS 38 for 17 yards (K.Moore). FUMBLES (K.Moore), recovered by KC-D.Morgan at WAS 37."
2009-10-18,,S.Rocca,False,OAK,PHI,"(9:10) S.Rocca punts 58 yards to OAK 24, Center-J.Dorenbos. J.Higgins to OAK 26 for 2 yards (J.Avant). FUMBLES (J.Avant), and recovers at OAK 26. J.Higgins to OAK 26 for no gain (T.White)."
2009-11-01,,A.Lee,False,IND,SF,"(13:36) A.Lee punts 51 yards to IND 13, Center-B.Jennings. J.Silva to IND 13 for no gain (A.Battle). FUMBLES (A.Battle), and recovers at IND 13. J.Silva to IND 15 for 2 yards (G.Coffee)."
